elapsed_s,logical_step,gap_ms,owned_one,owned_two,packets,active_orders,phase
0.310,1,310.0,271,271,1404,2,expand
0.553,2,242.6,271,271,2375,2,expand
0.807,3,253.7,325,320,2283,2,expand
1.081,4,273.3,329,327,2093,2,expand
1.347,5,263.0,365,353,1892,2,expand
1.577,6,212.3,385,384,1692,2,expand
1.814,7,229.6,424,411,1571,2,expand
2.066,8,250.5,437,428,1490,2,expand
2.331,9,264.4,478,465,1482,2,expand
2.566,10,233.1,485,470,1458,2,expand
2.814,11,247.5,528,511,1473,2,expand
3.055,12,241.3,537,526,1480,2,expand
3.359,13,299.9,573,557,1472,2,expand
3.604,14,243.9,595,574,1461,2,expand
3.826,15,221.7,629,597,1475,2,expand
4.097,16,270.2,648,620,1971,4,expand
4.378,17,275.2,682,645,1760,4,expand
4.596,18,196.9,693,666,1691,4,expand
4.844,19,247.8,733,693,1677,4,expand
5.110,20,265.7,748,713,1664,4,expand
5.360,21,243.9,779,738,1661,4,expand
5.617,22,254.2,797,756,1655,4,expand
5.854,23,235.9,833,775,1628,4,expand
6.115,24,248.7,851,801,1619,4,expand
6.365,25,248.1,878,824,1623,4,expand
6.625,26,256.1,893,845,1593,4,expand
6.861,27,235.6,927,871,1579,4,expand
7.101,28,227.5,944,891,1582,4,expand
7.351,29,248.6,973,904,1554,4,expand
7.635,30,281.5,989,925,1550,4,expand
7.860,31,223.8,1009,941,1517,4,expand
8.157,32,295.9,1026,957,1875,4,expand
8.397,33,225.3,1056,981,1640,4,expand
8.635,34,230.1,1077,1002,1536,4,expand
8.863,35,226.9,1102,1027,1526,4,expand
9.126,36,261.8,1117,1044,1527,4,expand
9.387,37,230.8,1144,1065,1495,4,expand
9.671,38,282.3,1160,1076,1491,4,expand
9.875,39,200.1,1180,1093,1472,4,expand
10.152,40,276.6,1196,1118,1443,4,expand
10.394,41,205.2,1221,1131,1428,4,expand
10.660,42,246.4,1237,1149,1394,4,expand
10.880,43,212.1,1257,1166,1363,4,expand
11.155,44,274.3,1270,1182,1329,4,expand
11.379,45,222.9,1282,1212,1278,4,expand
11.611,46,231.0,1300,1221,1262,4,expand
11.864,47,252.5,1317,1232,1247,4,expand
12.164,48,300.1,1337,1252,1842,4,expand
12.392,49,193.7,1349,1267,1458,4,expand
12.644,50,251.6,1361,1279,1305,4,expand
12.924,51,280.1,1385,1292,1230,4,expand
13.163,52,209.0,1403,1312,1194,4,expand
13.392,53,207.2,1413,1323,1167,4,expand
13.647,54,254.6,1423,1337,1138,4,expand
13.872,55,224.6,1442,1351,1077,4,expand
14.172,56,299.0,1455,1368,1053,4,expand
14.388,57,193.6,1466,1380,997,4,expand
14.651,58,262.3,1477,1391,932,4,expand
14.880,59,228.8,1487,1402,869,4,expand
15.228,60,347.0,1676,1410,3516,4,expand
15.471,61,240.4,1716,1420,3599,4,expand
15.683,62,209.0,1816,1427,2933,4,expand
15.926,63,228.2,1855,1435,2518,4,expand
16.226,64,277.1,1916,1440,2754,5,expand
16.428,65,198.0,1945,1447,2167,5,expand
16.679,66,248.9,2001,1453,1864,5,expand
16.909,67,226.2,2018,1462,1707,5,expand
17.189,68,280.0,2048,1468,1537,5,expand
17.430,69,240.1,2064,1471,1411,5,expand
17.687,70,255.4,2090,1478,1268,5,expand
17.902,71,204.2,2100,1483,1169,5,expand
18.181,72,278.7,2125,1483,1048,5,expand
18.430,73,248.1,2136,1485,941,5,expand
18.691,74,260.8,2152,1488,833,5,expand
18.900,75,179.8,2160,1490,743,5,expand
19.187,76,286.6,2175,1494,669,5,expand
19.417,77,229.9,2184,1495,605,5,expand
19.679,78,261.2,2195,1499,518,5,expand
19.895,79,215.0,2203,1499,464,4,expand
20.169,80,271.0,2206,1499,806,5,expand
20.433,81,263.4,2210,1499,555,5,expand
20.668,82,234.5,2219,1499,460,5,expand
20.882,83,213.4,2222,1500,427,5,expand
21.158,84,276.2,2224,1500,375,4,expand
21.432,85,273.5,2228,1500,332,4,expand
21.672,86,239.5,2232,1501,292,4,expand
21.887,87,215.2,2234,1501,254,4,expand
22.158,88,268.6,2237,1501,217,4,expand
22.424,89,252.4,2239,1502,194,4,expand
22.661,90,237.1,2240,1503,169,4,expand
22.898,91,235.1,2242,1504,149,4,expand
23.161,92,263.3,2242,1504,124,4,expand
23.419,93,257.6,2242,1504,100,3,expand
23.656,94,225.5,2242,1504,83,3,expand
23.897,95,240.8,2242,1504,63,2,expand
24.190,96,293.6,2242,1504,490,3,expand
24.397,97,206.2,2242,1504,242,3,expand
24.650,98,252.5,2242,1504,148,3,expand
