elapsed_s,logical_step,gap_ms,owned_one,owned_two,packets,active_orders,phase
0.313,1,313.3,271,271,1404,2,expand
0.605,2,290.8,271,271,2375,2,expand
0.904,3,298.7,325,320,2283,2,expand
1.112,4,206.9,329,327,2093,2,expand
1.388,5,275.3,365,353,1892,2,expand
1.613,6,223.9,385,384,1692,2,expand
1.878,7,253.3,424,411,1571,2,expand
2.102,8,223.6,437,428,1490,2,expand
2.384,9,281.1,478,465,1482,2,expand
2.610,10,225.5,485,470,1458,2,expand
2.886,11,275.6,528,511,1473,2,expand
3.122,12,235.8,537,526,1480,2,expand
3.390,13,261.9,573,557,1472,2,expand
3.629,14,238.6,595,574,1461,2,expand
3.896,15,255.8,629,597,1475,2,expand
5.195,16,1299.1,648,620,3339,4,expand
5.273,17,76.5,682,645,2686,4,expand
5.556,18,283.0,695,668,2563,4,expand
5.801,19,242.1,733,697,2521,4,expand
6.059,20,257.7,748,716,2477,4,expand
6.312,21,249.1,782,740,2459,4,expand
6.553,22,239.5,798,764,2444,4,expand
6.816,23,262.2,833,784,2414,4,expand
7.068,24,251.6,851,810,2377,4,expand
7.315,25,245.7,880,831,2373,4,expand
7.559,26,243.1,894,853,2322,4,expand
7.822,27,263.1,928,879,2288,4,expand
8.071,28,248.4,944,898,2261,4,expand
8.321,29,247.4,974,916,2197,4,expand
8.574,30,249.0,989,938,2145,4,expand
8.807,31,231.5,1010,954,2083,4,expand
11.954,32,3145.6,1027,970,4287,4,expand
12.031,33,76.1,1060,994,3497,4,expand
12.280,34,248.9,1080,1014,3167,4,expand
12.528,35,246.6,1104,1036,3121,4,expand
12.770,36,241.1,1119,1056,3123,4,expand
13.035,37,264.5,1143,1078,3108,4,expand
13.285,38,249.4,1162,1089,3082,4,expand
13.543,39,256.2,1185,1112,3063,4,expand
13.798,40,251.8,1204,1132,3032,4,expand
14.031,41,232.9,1224,1147,2991,4,expand
14.299,42,266.6,1243,1166,2931,4,expand
14.541,43,241.5,1260,1184,2876,4,expand
14.808,44,265.9,1272,1198,2806,4,expand
15.012,45,204.1,1289,1227,2693,4,expand
15.311,46,298.0,1308,1242,2563,4,expand
15.552,47,240.4,1324,1255,2434,4,expand
21.280,48,5726.7,1345,1276,4897,4,expand
21.355,49,74.2,1356,1289,3915,4,expand
21.598,50,242.5,1371,1301,3345,4,expand
21.814,51,214.5,1387,1314,3190,4,expand
22.102,52,287.0,1406,1332,3209,4,expand
22.307,53,204.6,1419,1349,3178,4,expand
22.576,54,267.7,1433,1358,3167,4,expand
22.826,55,249.6,1456,1372,3096,4,expand
23.100,56,273.1,1467,1387,3074,4,expand
23.310,57,205.9,1478,1404,3026,4,expand
23.567,58,256.4,1487,1416,2955,4,expand
23.823,59,254.9,1503,1428,2876,4,expand
24.079,60,255.4,1513,1437,2785,4,expand
24.311,61,231.2,1519,1444,2700,4,expand
24.578,62,265.9,1526,1450,2621,4,expand
24.807,63,228.8,1534,1457,2509,4,expand
32.608,64,7799.4,1538,1462,4923,4,expand
32.674,65,64.5,1545,1468,3725,4,expand
32.885,66,207.0,1552,1473,3076,4,expand
33.130,67,244.4,1556,1478,2873,4,expand
33.386,68,255.1,1561,1484,2825,4,expand
33.625,69,238.4,1568,1488,2831,4,expand
33.856,70,229.7,1575,1496,2796,4,expand
34.143,71,286.3,1579,1499,2768,4,expand
34.378,72,234.2,1580,1501,2742,4,expand
34.636,73,257.4,1581,1501,2724,4,expand
34.882,74,245.0,1585,1505,2682,4,expand
35.148,75,264.9,1587,1507,2643,4,expand
35.397,76,248.4,1588,1509,2602,4,expand
35.643,77,245.4,1589,1511,2560,4,expand
35.876,78,232.0,1591,1513,2510,4,expand
36.138,79,261.9,1592,1515,2438,4,expand
44.418,81,8276.0,1844,1515,5009,4,expand
44.655,82,235.9,1872,1515,4991,4,expand
44.858,83,202.3,2014,1516,3969,4,expand
45.085,84,225.4,2050,1516,3493,4,expand
45.310,85,224.5,2127,1516,3126,4,expand
45.542,86,231.3,2161,1516,2912,4,expand
45.813,87,269.2,2212,1517,2773,4,expand
46.072,88,258.5,2231,1517,2657,4,expand
46.306,89,233.5,2266,1518,2541,4,expand
46.555,90,246.3,2283,1518,2472,4,expand
46.813,91,254.1,2315,1519,2390,4,expand
47.083,92,269.2,2328,1520,2313,4,expand
47.289,93,205.9,2353,1520,2254,4,expand
47.556,94,259.0,2365,1520,2191,3,expand
47.802,95,241.2,2382,1520,2109,3,expand
58.280,96,10468.7,2392,1520,5862,4,expand
58.335,97,54.2,2411,1520,4705,3,expand
58.534,98,197.6,2421,1520,4377,3,expand
58.810,99,275.5,2429,1520,4266,3,expand
59.084,100,272.1,2439,1520,4222,3,expand
59.297,101,212.2,2448,1520,4261,3,expand
59.553,102,254.8,2455,1520,4265,3,expand
59.805,103,250.5,2464,1520,4274,3,expand
60.105,104,296.9,2469,1520,4258,3,expand
60.305,105,199.7,2476,1520,4228,3,expand
60.561,106,254.8,2478,1520,4206,3,expand
60.804,107,240.6,2485,1520,4149,3,expand
61.109,108,304.7,2489,1520,4107,3,expand
61.294,109,183.8,2494,1520,4031,3,expand
61.572,110,277.1,2496,1520,3963,3,expand
61.842,111,268.7,2499,1520,3872,3,expand
72.955,112,11112.6,2502,1520,6652,3,expand
73.023,113,66.3,2504,1520,4973,3,expand
73.207,114,182.9,2507,1520,4277,3,expand
73.441,115,233.2,2510,1520,4035,3,expand
73.722,116,280.3,2512,1520,3989,3,expand
73.937,117,213.5,2514,1520,4017,3,expand
74.195,118,257.6,2514,1520,4054,3,expand
74.466,119,269.8,2516,1520,4068,3,expand
74.751,120,284.3,2518,1520,4062,3,expand
74.956,121,204.3,2519,1520,4065,3,expand
75.228,122,270.7,2519,1520,4031,3,expand
75.473,123,240.8,2520,1520,4006,3,expand
75.756,124,281.5,2520,1520,3982,3,expand
75.956,125,199.3,2520,1520,3952,3,expand
76.235,126,278.2,2520,1520,3916,3,expand
76.474,127,236.5,2520,1520,3847,3,expand
88.381,129,11906.1,3232,1520,7848,3,expand
88.615,130,230.2,3244,1520,7943,3,expand
88.780,131,163.1,3323,1520,5861,3,expand
88.981,132,199.2,3338,1520,4829,3,expand
89.169,133,186.2,3366,1520,4100,3,expand
89.390,134,218.3,3370,1520,3680,3,expand
89.650,135,258.6,3384,1520,3345,3,expand
89.925,136,273.7,3386,1520,3089,3,expand
90.123,137,196.0,3393,1520,2823,3,expand
90.374,138,249.8,3395,1520,2594,3,expand
90.622,139,245.0,3401,1520,2433,3,expand
90.907,140,284.8,3404,1520,2296,3,expand
91.102,141,194.1,3409,1520,2147,3,expand
91.358,142,254.9,3411,1520,2004,3,expand
91.608,143,249.7,3416,1520,1892,3,expand
104.644,144,13034.1,3418,1520,7862,4,expand
104.828,145,180.9,3422,1520,6711,4,expand
105.017,146,187.4,3423,1520,6083,4,expand
105.253,147,235.0,3428,1520,5922,4,expand
105.551,148,296.0,3429,1520,5851,4,expand
105.743,149,190.5,3432,1520,5902,4,expand
106.006,150,261.4,3432,1520,5926,4,expand
106.260,151,252.6,3435,1520,5882,4,expand
106.553,152,290.7,3435,1520,5845,4,expand
106.761,153,206.4,3437,1520,5806,4,expand
107.019,154,257.1,3437,1520,5740,4,expand
107.270,155,249.1,3439,1520,5620,4,expand
107.556,156,285.0,3439,1520,5486,4,expand
107.765,157,206.9,3440,1520,5391,4,expand
108.014,158,247.6,3441,1520,5280,4,expand
108.266,159,250.3,3442,1520,5139,4,expand
123.505,161,15237.4,3796,1520,9891,3,expand
123.937,162,429.9,3817,1520,10724,3,expand
124.250,163,311.6,3902,1520,8677,3,expand
124.535,164,280.9,3915,1520,7575,3,expand
124.757,165,220.8,3944,1520,6817,3,expand
124.984,166,225.5,3956,1520,6262,3,expand
125.224,167,238.2,3975,1520,5741,3,expand
125.532,168,306.1,3979,1520,5349,3,expand
125.759,169,221.2,3990,1520,4973,3,expand
126.008,170,248.3,3993,1520,4620,3,expand
126.240,171,230.6,3999,1520,4315,3,expand
126.547,172,305.4,4001,1520,3997,3,expand
126.762,173,213.1,4005,1520,3699,3,expand
127.015,174,252.4,4006,1520,3432,3,expand
127.260,175,243.8,4008,1520,3218,3,expand
138.918,176,11656.1,4011,1520,9799,4,expand
139.413,177,493.6,4011,1520,8842,4,expand
139.824,178,406.6,4011,1520,8078,4,expand
140.232,179,406.0,4012,1520,7951,4,expand
140.700,180,465.7,4014,1520,7817,4,expand
141.100,181,397.1,4014,1520,7763,4,expand
141.565,182,463.2,4014,1520,7590,4,expand
141.982,183,415.0,4016,1520,7458,4,expand
142.482,184,498.4,4016,1520,7236,4,expand
142.918,185,434.0,4017,1520,7019,4,expand
143.349,186,428.4,4017,1520,6810,4,expand
143.790,187,439.2,4018,1520,6588,4,expand
144.268,188,474.2,4019,1520,6385,4,expand
144.687,189,417.0,4019,1520,6193,4,expand
145.079,190,370.7,4019,1520,5994,4,expand
145.447,191,366.6,4020,1520,5814,4,expand
170.892,193,25436.2,4021,1520,8496,4,policy
171.343,194,450.0,4022,1520,7405,4,policy
171.583,195,238.2,4023,1520,6795,4,policy
171.882,196,296.4,4024,1520,6384,4,policy
172.103,197,219.3,4024,1520,6215,4,policy
172.355,198,250.2,4025,1520,6142,4,policy
172.602,199,245.1,4027,1520,6081,4,policy
172.893,200,287.0,4027,1520,6023,4,policy
173.111,201,210.7,4027,1520,5986,4,policy
173.368,202,251.5,4028,1520,5903,4,policy
173.607,203,236.8,4028,1520,5806,4,policy
173.890,204,281.6,4028,1520,5681,4,policy
174.086,205,192.0,4029,1520,5506,4,policy
174.330,206,242.3,4029,1520,5364,4,policy
174.582,207,250.5,4029,1520,5174,4,policy
186.789,208,12205.5,4029,1520,9291,4,policy
187.015,209,223.2,4029,1520,6707,4,policy
187.172,210,151.4,4029,1520,5554,4,policy
187.329,211,155.3,4029,1520,4945,4,policy
187.627,212,297.1,4029,1520,4648,4,policy
187.808,213,178.7,4029,1520,4511,4,policy
188.074,214,264.2,4029,1520,4427,4,policy
188.312,215,236.6,4029,1520,4399,4,policy
188.627,216,313.4,4029,1520,4365,4,policy
188.794,217,165.7,4029,1520,4325,4,policy
189.063,218,268.0,4029,1520,4304,4,policy
189.307,219,238.7,4029,1520,4242,4,policy
189.616,220,296.1,4029,1520,4147,4,policy
189.791,221,172.7,4029,1520,4062,4,policy
190.052,222,260.3,4029,1520,3967,4,policy
190.310,223,256.1,4029,1520,3869,4,policy
202.433,224,12118.4,4029,1520,8999,4,policy
202.620,225,183.4,4029,1520,5880,4,policy
202.738,226,116.6,4029,1520,4694,4,policy
202.950,227,210.6,4029,1520,3992,4,policy
203.218,228,266.5,4029,1520,3586,4,policy
203.392,229,170.1,4029,1520,3428,4,policy
203.649,230,255.6,4029,1520,3301,4,policy
203.897,231,243.9,4029,1520,3262,4,policy
204.201,232,303.0,4029,1520,3218,4,policy
204.381,233,178.8,4029,1520,3215,4,policy
204.658,234,276.0,4029,1520,3195,4,policy
204.907,235,247.7,4029,1520,3170,4,policy
205.211,236,302.4,4029,1520,3153,4,policy
205.386,237,174.2,4029,1520,3124,4,policy
205.682,238,294.7,4029,1520,3055,4,policy
205.924,239,241.4,4029,1520,2985,3,policy
218.154,240,12227.8,4029,1520,8881,3,policy
218.351,241,196.1,4029,1520,5283,3,policy
218.416,242,63.1,4029,1520,4049,3,policy
218.632,243,213.5,4029,1520,3363,3,policy
218.921,244,287.6,4029,1520,3014,3,policy
219.073,245,143.7,4029,1520,2792,3,policy
219.332,246,257.8,4029,1520,2638,3,policy
219.591,247,257.6,4029,1520,2564,3,policy
219.894,248,301.9,4029,1520,2550,3,policy
220.048,249,153.0,4029,1520,2537,3,policy
220.326,250,277.2,4029,1520,2546,3,policy
220.608,251,280.1,4029,1520,2538,3,policy
220.892,252,283.0,4029,1520,2533,3,policy
221.049,253,156.7,4029,1520,2535,3,policy
221.326,254,275.7,4029,1520,2509,3,policy
221.596,255,268.5,4029,1520,2486,3,policy
234.998,256,13399.8,4029,1520,9193,3,policy
235.238,257,239.4,4029,1520,5502,3,policy
235.324,258,84.3,4029,1520,4067,3,policy
235.513,259,185.2,4029,1520,3399,3,policy
235.793,260,279.2,4029,1520,2942,3,policy
235.949,261,154.9,4029,1520,2632,3,policy
236.204,262,254.1,4029,1520,2471,3,policy
236.440,263,234.5,4029,1520,2432,3,policy
236.771,264,330.2,4029,1520,2428,3,policy
236.929,265,157.7,4029,1520,2423,3,policy
237.188,266,257.4,4029,1520,2431,3,policy
237.455,267,266.5,4029,1520,2421,3,policy
237.766,268,310.1,4029,1520,2422,3,policy
237.934,269,166.2,4029,1520,2422,3,policy
238.201,270,265.8,4029,1520,2412,3,policy
238.458,271,256.0,4029,1520,2413,3,policy
252.009,272,13549.8,4029,1520,9059,3,policy
252.250,273,239.6,4029,1520,5345,3,policy
252.326,274,74.2,4029,1520,4057,3,policy
252.522,275,195.0,4029,1520,3245,3,policy
252.787,276,263.1,4029,1520,2777,3,policy
252.941,277,151.4,4029,1520,2518,3,policy
253.204,278,261.3,4029,1520,2353,3,policy
253.442,279,234.9,4029,1520,2282,3,policy
253.759,280,316.4,4029,1520,2241,3,policy
253.930,281,170.0,4029,1520,2216,3,policy
254.195,282,263.9,4029,1520,2206,3,policy
254.464,283,267.5,4029,1520,2199,3,policy
254.786,284,320.1,4029,1520,2189,3,policy
254.935,285,148.1,4029,1520,2195,3,policy
255.209,286,273.6,4029,1520,2187,3,policy
255.478,287,268.2,4029,1520,2186,3,policy
267.949,288,12469.3,4029,1520,8594,3,policy
268.174,289,222.8,4029,1520,4918,3,policy
268.247,290,71.4,4029,1520,3542,3,policy
268.435,291,185.9,4029,1520,2972,3,policy
268.723,292,287.2,4029,1520,2617,3,policy
268.889,293,164.9,4029,1520,2334,3,policy
269.144,294,254.4,4029,1520,2171,3,policy
